source,date,channel,product,text
Apple Store,2026-02-06 00:00:00,app store reviews,android mobile banking app,Very fast
Apple Store,2026-02-06 00:00:00,app store reviews,android mobile banking app,My equity account can’t allow me to send money to someone else apart from me hence making it difficult and look like analog !!!
Apple Store,2026-02-02 00:00:00,app store reviews,android mobile banking app,Real smooth & easy
Apple Store,2026-01-30 00:00:00,app store reviews,android mobile banking app,"I wanted to send money to another bank only to be to that I have to get verified and you can’t do it instantly, that I should wait to be called within 48 hours and verify about the transaction."
Apple Store,2026-01-27 00:00:00,app store reviews,android mobile banking app,Not finishing to launch ..only logo appears
Apple Store,2026-01-27 00:00:00,app store reviews,android mobile banking app,App isn’t working since I last updated
Apple Store,2026-01-24 00:00:00,app store reviews,android mobile banking app,Good app
Apple Store,2026-01-23 00:00:00,app store reviews,android mobile banking app,Very quick and reliable.
Apple Store,2026-01-09 00:00:00,app store reviews,android mobile banking app,Easy to use
Apple Store,2026-01-07 00:00:00,app store reviews,android mobile banking app,Reliable
Apple Store,2025-12-23 00:00:00,app store reviews,android mobile banking app,I was to be deducted 240 for debit card but got deducted 470 and was told it will be refunded and bado sijata
Apple Store,2025-12-19 00:00:00,app store reviews,android mobile banking app,Best experience in paying electricity bills.
Apple Store,2025-12-17 00:00:00,app store reviews,android mobile banking app,Wonderful app . Very much seamless
Apple Store,2025-12-16 00:00:00,app store reviews,android mobile banking app,Please verify customers before they leave the banking hall I was embarrassed forced to ask for money
Apple Store,2025-12-15 00:00:00,app store reviews,android mobile banking app,Am grateful for being part of and using equity banking app!
Apple Store,2025-11-30 00:00:00,app store reviews,android mobile banking app,I have some money missing from my account
Apple Store,2025-11-29 00:00:00,app store reviews,android mobile banking app,Works well even in Europe
Apple Store,2025-11-29 00:00:00,app store reviews,android mobile banking app,Easy and fast services. Very reliable.
Apple Store,2025-11-21 00:00:00,app store reviews,android mobile banking app,Very efficient
Apple Store,2025-11-17 00:00:00,app store reviews,android mobile banking app,I got a bank account specifically so that I can deposit and withdraw directly to and from paypal. They have marketed it that way but guess what it doesn’t work
Apple Store,2025-11-14 00:00:00,app store reviews,android mobile banking app,Shuts down everytime and doesn’t detect codes
Apple Store,2025-11-14 00:00:00,app store reviews,android mobile banking app,The app is fast and convenient to use🤗. I have only one request please add Apple Pay.
Apple Store,2025-10-28 00:00:00,app store reviews,android mobile banking app,Works perfectly but they could add Apple Pay option for the cards it would be so much simpler to transact I people wouldn’t have to carry cards everywhere.
Apple Store,2025-10-25 00:00:00,app store reviews,android mobile banking app,The app isn’t working. There is a delay in both the mobile app and customer service line. This is causing a huge inconvenience on my part.I’ve tried to withdraw some money from my account which has been deducted but not sent to my MPESA number!!
Apple Store,2025-10-06 00:00:00,app store reviews,android mobile banking app,Very easy app to use and convenient
Apple Store,2025-10-02 00:00:00,app store reviews,android mobile banking app,Nice work
Apple Store,2025-09-25 00:00:00,app store reviews,android mobile banking app,Better than before
Apple Store,2025-09-21 00:00:00,app store reviews,android mobile banking app,Easy to use app making life easy
Apple Store,2025-09-10 00:00:00,app store reviews,android mobile banking app,Can we have our account managers checking on their customers and possibly advising if need be. Especially to those customers in business. Thank you
Apple Store,2025-08-31 00:00:00,app store reviews,android mobile banking app,The App is proving to be quite reliable as is efficient.
Apple Store,2025-08-15 00:00:00,app store reviews,android mobile banking app,"Best financial app in Kenya and easy to navigate .. easy to use. All functionalities available, loans, bill payments, government securities, loan applications. The list is endless. Kudos equity"
Apple Store,2025-07-29 00:00:00,app store reviews,android mobile banking app,Unable to get OTP
Apple Store,2025-07-18 00:00:00,app store reviews,android mobile banking app,Easy and convenient to use
Apple Store,2025-07-15 00:00:00,app store reviews,android mobile banking app,"This is the most reliable Banking app in Kenya of all the ones I have tried. 99% uptime is very commendable, well done keep it up. I will recommend to others."
Apple Store,2025-07-06 00:00:00,app store reviews,android mobile banking app,The app works well but sometimes the otp fails. Please fix this issue
Apple Store,2025-06-27 00:00:00,app store reviews,android mobile banking app,Kindly include more Kenyan banks in the wiring options.
Apple Store,2025-06-19 00:00:00,app store reviews,android mobile banking app,Equity need to work on the app slowness on a busy day otherwise its ok
Apple Store,2025-06-05 00:00:00,app store reviews,android mobile banking app,Slow
Apple Store,2025-05-28 00:00:00,app store reviews,android mobile banking app,Easy to access and reliable. Anywhere you could be!
Apple Store,2025-05-24 00:00:00,app store reviews,android mobile banking app,"Very easy, safe and secure banking application."
Apple Store,2025-04-29 00:00:00,app store reviews,android mobile banking app,I should receive the PIN pip up on my screen instead of going to the messages … maybe it’s a safety measure I might be wrong… I should be in a position to see my bank statement aswell… a detailed one with deposits and withdrawals  if possible
Apple Store,2025-04-15 00:00:00,app store reviews,android mobile banking app,Good service and reliable
Apple Store,2025-04-05 00:00:00,app store reviews,android mobile banking app,Efficient n safe + superb
Apple Store,2025-03-28 00:00:00,app store reviews,android mobile banking app,Good experience
Apple Store,2025-03-22 00:00:00,app store reviews,android mobile banking app,Very seamless 👌🏿
Apple Store,2025-03-19 00:00:00,app store reviews,android mobile banking app,Your transaction charges are too high
Apple Store,2025-03-07 00:00:00,app store reviews,android mobile banking app,Instead of a pon or otp verification to verify a transaction could you imtorduce facial verification just beforea transactio  is submitted this will enhancw aecurity and even if  someone has your password the  face will mitigate this
Apple Store,2025-03-03 00:00:00,app store reviews,android mobile banking app,Good customer service
Apple Store,2025-02-26 00:00:00,app store reviews,android mobile banking app,Send text for all transactions especially Standing orders once deducted
Apple Store,2025-02-13 00:00:00,app store reviews,android mobile banking app,Excellent
